Symbol,Series,Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,No. of Trades
INFY,EQ,16-Jun-20,687.55,702,712,699.15,700,701.2,705.08,10132423,7144207775,170413
INFY,EQ,17-Jun-20,701.2,699.9,710.3,698,704.6,703.65,705.4,7291919,5143752646,136959
INFY,EQ,18-Jun-20,703.65,708.2,716.6,706,713.4,713.9,711.84,6670206,4748091716,174646
INFY,EQ,19-Jun-20,713.9,709,711.9,701,708.15,705.55,704.87,22438873,15816432220,266933
INFY,EQ,22-Jun-20,705.55,707.1,708.7,700,703.45,703.7,702.88,7804139,5485377026,145862
INFY,EQ,23-Jun-20,703.7,695.7,724.5,692.1,720,720.65,713.34,12157486,8672464910,203759
INFY,EQ,24-Jun-20,720.65,716.9,726.8,709.4,715.25,714.15,717.48,10220908,7333276140,147819
INFY,EQ,25-Jun-20,714.15,704.85,705.6,693.5,700.7,700.5,700.31,14945304,10466323460,214685
INFY,EQ,26-Jun-20,700.5,710.2,751.6,710,747,748.2,740.04,26030535,19263536479,378564
INFY,EQ,29-Jun-20,748.2,735.4,744.7,730.1,731.4,731.75,735.05,8954490,6582024856,128524
INFY,EQ,30-Jun-20,731.75,732.8,738.95,724.25,733.7,735.95,733.74,10411347,7639234133,140340
INFY,EQ,01-Jul-20,735.95,737.25,742.3,729.75,730.85,731.9,736.05,5477687,4031836580,101474
INFY,EQ,02-Jul-20,731.9,737.35,765.45,735.4,756,756.6,756.33,17263764,13057143719,207044
INFY,EQ,03-Jul-20,756.6,755,764,752.5,762.15,762.7,759.35,7796573,5920349097,148320
INFY,EQ,06-Jul-20,762.7,765.2,775,761.5,764.4,764,768.11,8811009,6767835779,180660
INFY,EQ,07-Jul-20,764,769.4,796.95,765.55,789.9,794.15,785.79,19362666,15215059540,321825
INFY,EQ,08-Jul-20,794.15,784.9,784.9,772.2,774.5,774.7,778.55,8476675,6599550757,145325
INFY,EQ,09-Jul-20,774.7,780,790,775,782.05,781.7,781.17,6854196,5354314428,130712
INFY,EQ,10-Jul-20,781.7,773.5,789.9,773.5,779.9,781.85,782.38,5206452,4073445026,94276
INFY,EQ,13-Jul-20,781.85,788,805.35,786.05,796.1,797.05,797.65,10804911,8618519870,150013
INFY,EQ,14-Jul-20,797.05,792.95,806.4,781.35,784.95,783.25,794.38,8961822,7119121563,139180
INFY,EQ,15-Jul-20,783.25,799,848.45,794.8,833.95,830.95,828.95,30060998,24919080835,376383
INFY,EQ,16-Jul-20,830.95,900.1,955.5,894.25,910,911,920.45,90433393,83239052701,936612
INFY,EQ,17-Jul-20,911,911,919.9,892.15,905.65,903.15,903.73,31682904,28632889196,432265
INFY,EQ,20-Jul-20,903.15,908.5,945,906.75,942.95,934.3,921.63,18421083,16977458353,242092
INFY,EQ,21-Jul-20,934.3,945,949.7,929.2,937.35,936.75,937.15,12877814,12068383201,209340
INFY,EQ,22-Jul-20,936.75,938.95,939,910,919.25,917.9,921.44,14354421,13226774281,191180
INFY,EQ,23-Jul-20,917.9,915.65,915.8,900.65,911.25,907.95,907.32,13052804,11843097056,203420
INFY,EQ,24-Jul-20,907.95,903.25,925.75,903.25,921.2,922.85,915.28,18209670,16666989754,240036
INFY,EQ,27-Jul-20,922.85,921.55,952.8,918.65,947.15,948.45,939.16,16828218,15804436677,278528
INFY,EQ,28-Jul-20,948.45,946,967.55,941.2,960.6,962.85,953.58,15819466,15085058374,220010
INFY,EQ,29-Jul-20,962.85,953.25,960,943.6,951.95,954.15,952.22,11152710,10619817806,212215
INFY,EQ,30-Jul-20,954.15,962,972.65,958.75,962.15,961.45,965.59,12492569,12062741577,222807
INFY,EQ,31-Jul-20,961.45,969.25,986.45,953.3,967.75,966,971.12,12704359,12337423708,195979
INFY,EQ,03-Aug-20,966,960,965.4,947.45,955.3,956.9,954.94,8480166,8098076651,164566
INFY,EQ,04-Aug-20,956.9,960.45,970.7,940.55,952,949.85,949.99,11133259,10576516986,166839
INFY,EQ,05-Aug-20,949.85,952,960.95,938.3,944.5,944.7,947.7,9616176,9113224805,170591
INFY,EQ,06-Aug-20,944.7,953.5,974.4,942.5,972,970.85,962.12,10976523,10560771158,202937
INFY,EQ,07-Aug-20,970.85,969.45,969.45,949,951.65,950.9,955.24,8010973,7652389955,159251
INFY,EQ,10-Aug-20,950.9,948.9,956.8,945.3,950.55,951.35,952.75,5716472,5446342904,102663
INFY,EQ,11-Aug-20,951.35,949.9,962,946.1,950.5,948.45,953.42,6802508,6485671475,92778
INFY,EQ,12-Aug-20,948.45,948,958.8,942.2,952.85,954.95,950.21,6908732,6564723271,89286
INFY,EQ,13-Aug-20,954.95,954.8,968.5,948.25,952.3,951.2,956.51,5097705,4876025984,87144
INFY,EQ,14-Aug-20,951.2,955.85,963,952.05,954.5,953.6,957.2,4663873,4464257395,88402
